Kategória,Név,Latin név,Védett,Természetvédelmi státusz,Természetvédelmi érték (Ft),Wikipedia link
Növények,Homoki kikirics,Colchicum arenarium,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Homoki_kikerics
Növények,Tartós szegfű,Dianthus diutinus,Igen,Fokozottan védett,250000,https://hu.wikipedia.org/wiki/Tartós_szegfű
Növények,Erdei gyömbérgyökér,Geum urbanum,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Erdei_gyömbérgyökér
Növények,Fehér májvirág,Parnassia palustris,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Fehér_májvirág
Növények,Kornis-tárnics,Gentiana pneumonanthe,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Kornis-tárnics
Növények,Mocsári kardvirág,Gladiolus palustris,Igen,Fokozottan védett,250000,https://hu.wikipedia.org/wiki/Mocsári_kardvirág
Növények,Piros madársisak,Cephalanthera rubra,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Piros_madársisak
Növények,Mocsári nőszőfű,Epipactis palustris,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Mocsári_nőszőfű
Növények,Békakonty,Listera ovata,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Békakonty
Növények,Pókbangó,Ophrys sphegodes,Igen,Fokozottan védett,100000,https://hu.wikipedia.org/wiki/Pókbangó
Növények,Agár kosbor,Orchis morio,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Agárkosbor
Növények,Vitéz kosbor,Orchis militaris,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Vitézkosbor
Növények,Mocsári kosbor,Orchis laxiflora ssp. palustris,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Mocsári_kosbor
Növények,Vadmurok,Daucus carota,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Murok
Növények,Selyemkóró,Asclepias syriaca,Nem,Inváziós (Nem védett),0,https://hu.wikipedia.org/wiki/Selyemkóró
Növények,Egyhajúvirág,Bulbocodium vernum,Igen,Fokozottan védett,250000,https://hu.wikipedia.org/wiki/Egyhajúvirág
Növények,Tarka sáfrány,Crocus reticulatus,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Tarka_sáfrány
Növények,Árvalányhaj,Stipa joannis,Igen,Védett,5000,https://hu.wikipedia.org/wiki/Árvalányhaj
Növények,Fehér tündérrózsa,Nymphaea alba,Igen,Védett,5000,https://hu.wikipedia.org/wiki/Fehér_tündérrózsa
Növények,Szibériai nőszirom,Iris sibirica,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Szibériai_nőszirom
Növények,Fátyolos nőszirom,Iris spuria,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Fátyolos_nőszirom
Növények,Csipkés gyöngyvessző,Spiraea crenata,Igen,Fokozottan védett,250000,https://hu.wikipedia.org/wiki/Csipkés_gyöngyvessző
Növények,Sárga nőszirom,Iris pseudacorus,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Mocsári_nőszirom
Növények,Pusztai madártej,Ornithogalum gussonei,Igen,Védett,5000,https://hu.wikipedia.org/wiki/Pusztai_madártej
Növények,Epergyöngyike,Muscari botryoides,Igen,Védett,5000,https://hu.wikipedia.org/wiki/Epergyöngyike
Növények,Bíboros kosbor,Orchis purpurea,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Bíboros_kosbor
Növények,Poloskaszagú kosbor,Orchis coriophora,Igen,Védett,50000,https://hu.wikipedia.org/wiki/Poloskaszagú_kosbor
